journal;volume;year;isbn;pages
Discret. Comput. Geom.;7;1992;0-86167-514-2;187
ACM Trans. Sens. Networks;13;2017;1-4622-4661-3;395
IEEE Trans. Parallel Distributed Syst.;4;1993;1-948449-92-7;390
CoRR;abs/2110.00394;2021;0-7965-1998-6;225
IET Comput. Digit. Tech.;13;2019;1-100-87445-3;351
J. Intell. Robotic Syst.;10;1994;1-5462-9032-X;171
Wirel. Pers. Commun.;87;2016;0-412-19969-6;309
IEEE Consumer Electron. Mag.;10;2021;0-7927-9706-X;318
SIAM J. Discret. Math.;35;2021;0-235-00798-6;104
Neurocomputing;110;2013;1-374-38551-4;363
J. Approx. Theory;163;2011;0-8353-4854-7;348
Transp. Sci.;28;1994;0-16-341619-2;108
CoRR;abs/2201.03538;2022;1-271-38320-9;298
IEEE Trans. Computers;57;2008;1-4501-3401-7;319
CoRR;abs/2008.05765;2020;0-7655-2882-7;114
J. Biomed. Informatics;76;2017;1-76651-167-8;329
Pattern Recognit. Lett.;13;1992;1-963523-52-0;361
IEEE Trans. Intell. Transp. Syst.;16;2015;1-59139-996-3;238
J. Comb. Theory, Ser. A;12;1972;0-7417-4649-2;272
Comput. Graph. Forum;27;2008;0-87192-687-3;185
Scientometrics;45;1999;0-298-94069-8;237
CoRR;abs/1911.08964;2019;1-78695-589-X;266
Control. Intell. Syst.;43;2015;0-524-77587-7;281
CoRR;abs/1910.10077;2019;0-9896112-9-9;277
ACM Stand.;5;1997;0-261-16095-8;247
Neurocomputing;260;2017;1-08-151488-4;223
IEEE CAA J. Autom. Sinica;8;2021;0-01-006189-4;257
Neurocomputing;243;2017;0-366-58130-9;327
CoRR;abs/1705.03214;2017;0-7336-3072-3;279
J. Multiple Valued Log. Soft Comput.;22;2014;1-949905-68-3;216
IEEE Commun. Stand. Mag.;4;2020;1-5015-9178-9;287
CoRR;abs/1702.02821;2017;1-300-19856-7;228
CoRR;abs/1803.07879;2018;0-00-606138-9;329
CoRR;abs/1407.3841;2014;0-250-68223-0;387
Int. J. Soc. Media Interact. Learn. Environ.;2;2014;1-396-26067-6;210
AI Matters;3;2018;1-05-331248-2;354
J. Comput. Phys.;214;2006;0-502-59698-8;235
J. Appl. Probab.;54;2017;1-327-87631-0;375
Wirel. Pers. Commun.;74;2014;0-8004-5961-X;360
Internet Math.;5;2008;0-7697-1590-7;150
Int. J. Autom. Technol.;14;2020;1-5372-5240-2;176
CoRR;abs/1403.7922;2014;1-56641-509-8;383
CoRR;abs/1910.13923;2019;1-59799-792-7;197
J. Comb. Theory, Ser. A;64;1993;1-79551-023-4;337
Comput. Methods Programs Biomed.;192;2020;1-280-74412-X;264
J. Inf. Sci. Eng.;20;2004;1-65752-957-6;367
Int. J. Data Anal. Tech. Strateg.;2;2010;1-01-417827-4;257
Discret. Appl. Math.;216;2017;1-294-48428-1;260
J. Approx. Theory;138;2006;1-04-094556-2;179
CoRR;abs/2005.13211;2020;1-00-314684-8;165
CoRR;abs/1605.05180;2016;1-70125-754-8;271
CoRR;abs/2112.01068;2021;1-5367-7555-X;250
IEEE Trans. Multim.;7;2005;0-243-10163-5;321
Syst. Eng.;12;2009;1-78391-221-9;312
AI Matters;5;2019;1-85954-127-5;122
Complex.;6;2001;0-7146-0674-X;100
Health Informatics J.;27;2021;1-85567-426-2;244
CoRR;abs/2104.08247;2021;0-88440-252-5;102
CoRR;abs/1006.1676;2010;0-501-53943-3;266
Commun. ACM;42;1999;0-208-87824-6;226
J. Math. Log.;6;2006;0-933009-38-0;133
J. Comput. Appl. Math.;231;2009;1-314-46187-7;395
Discret. Math.;248;2002;1-7355632-1-8;217
Comput. Networks;11;1986;0-08-511319-0;394
BMC Bioinform.;21;2020;1-167-71894-1;358
it Inf. Technol.;31;1989;1-73088-946-8;317
Neural Comput.;7;1995;0-17-024636-1;196
Online Inf. Rev.;44;2020;0-18-042931-0;198
IEICE Trans. Inf. Syst.;90-D;2007;0-86979-087-0;191
Cybern. Syst.;40;2009;0-661-36308-2;210
IEEE Trans. Fuzzy Syst.;3;1995;1-902614-53-4;185
J. High Speed Networks;7;1998;0-11-872946-2;381
Int. J. Unconv. Comput.;12;2016;1-312-40081-1;323
Int. Trans. Syst. Sci. Appl.;1;2006;0-86974-422-4;399
CoRR;abs/1607.01856;2016;0-7452-7363-7;308
CoRR;cs.AI/9503101;1995;0-8326-5521-X;239
Nat.;578;2020;0-01-769863-4;103
CoRR;abs/1301.7462;2013;1-59845-826-4;127
Stat. Methods Appl.;20;2011;1-4366-4963-3;361
Comput. Medical Imaging Graph.;63;2018;1-55427-143-6;302
Oper. Res.;65;2017;0-04-784183-4;328
Int. J. Algebra Comput.;30;2020;1-188-83947-0;382
EURASIP J. Adv. Signal Process.;2014;2014;0-329-42222-7;379
CoRR;abs/2008.11849;2020;0-7113-4697-6;197
Image Vis. Comput.;13;1995;1-345-44855-4;334
EURASIP J. Image Video Process.;2021;2021;1-59023-141-4;396
ACM Trans. Comput. Log.;19;2018;0-7852-1694-4;110
CoRR;abs/2006.04174;2020;0-9521272-0-2;239
SIGCAS Comput. Soc.;34;2004;0-467-10792-0;381
Neurocomputing;89;2012;0-939014-21-1;135
Int. J. Interact. Mob. Technol.;8;2014;0-09-105915-1;355
Fundam. Informaticae;150;2017;1-277-16868-7;178
IEEE Trans. Commun.;37;1989;1-01-784352-X;344
Commun. ACM;10;1967;0-11-671215-5;180
Log. J. IGPL;8;2000;1-61385-374-2;293
Int. J. Comput. Math.;84;2007;0-685-20609-2;127
Universität Trier, Mathematik/Informatik, Forschungsbericht;02-10;2002;0-690-21366-2;328
Int. J. E Entrepreneurship Innov.;3;2012;0-17-818345-8;260
CoRR;abs/1809.06675;2018;1-199-26474-1;238
IEEE Trans. Inf. Theory;20;1974;0-931967-59-7;254
IEICE Trans. Fundam. Electron. Commun. Comput. Sci.;101-A;2018;1-4125-1598-X;118
Ann. Pure Appl. Log.;164;2013;0-9969030-2-X;262
Gov. Inf. Q.;27;2010;1-82976-734-8;363
CoRR;abs/2008.09472;2020;1-85451-311-7;118
CoRR;abs/1512.03631;2015;1-82559-782-0;272
Int. J. Inf. Commun. Technol. Educ.;15;2019;1-80005-224-3;100
IEEE Trans. Engineering Management;62;2015;0-409-75023-9;239
Comput. Methods Programs Biomed.;99;2010;0-530-33853-X;301
CoRR;abs/1504.07704;2015;1-61788-846-X;101
CoRR;abs/1709.03488;2017;1-59869-763-3;130
CoRR;cs.DC/0306100;2003;0-241-08632-9;375
J. Am. Medical Informatics Assoc.;17;2010;0-9616894-6-3;197
CoRR;abs/1703.00384;2017;1-79682-075-X;180
Theor. Comput. Sci.;554;2014;1-243-15109-9;338
CoRR;abs/1910.06162;2019;0-471-04636-1;390
Reliab. Eng. Syst. Saf.;152;2016;0-322-80354-3;185
Numerische Mathematik;88;2001;0-397-14321-4;212
CoRR;abs/2106.04207;2021;1-9780-0631-4;185
J. Object Oriented Program.;7;1995;0-04-600802-0;352
Int. J. Speech Technol.;20;2017;0-12-539194-3;244
CoRR;abs/1608.03773;2016;0-16-071891-0;398
CoRR;abs/2004.06608;2020;1-135-48894-0;259
J. Symb. Comput.;90;2019;1-63775-235-0;116
Int. J. Gaming Comput. Mediat. Simulations;1;2009;0-697-76526-1;249
ACM SIGOPS Oper. Syst. Rev.;13;1979;1-85336-511-4;362
Comput. Methods Programs Biomed.;117;2014;0-657-21992-4;171
CoRR;abs/1810.12842;2018;0-85580-649-4;146
Data Knowl. Eng.;68;2009;1-84004-287-7;150
J. Comput.;1;2006;0-375-65032-6;389
eLearn Mag.;2017;2017;1-5394-0783-7;254
J. Semant.;11;1994;0-01-825210-9;280
J. Econ. Theory;154;2014;1-60596-750-5;229
IEEE Trans. Broadcast.;59;2013;1-104-62737-X;217
CoRR;abs/1911.07567;2019;0-06-083847-7;292
Int. J. Robotics Autom.;35;2020;1-342-02601-2;237
Int. J. Inf. Syst. Chang. Manag.;1;2006;0-9501632-3-6;177
Comput. Stat. Data Anal.;53;2008;1-5193-3721-3;216
Des. Codes Cryptogr.;82;2017;0-8032-1726-9;199
CoRR;abs/cs/0601088;2006;0-01-267015-4;195
CoRR;abs/1707.04788;2017;1-242-34578-7;360
Games Econ. Behav.;66;2009;1-74749-245-0;328
CoRR;abs/1512.01871;2015;0-7972-7846-X;238
Parallel Comput.;89;2019;0-208-92730-1;313
Commun. Assoc. Inf. Syst.;23;2008;1-4083-2560-8;202
J. Softw. Evol. Process.;28;2016;1-00-976417-9;353
CoRR;abs/1106.5890;2011;1-4218-6151-8;240
CoRR;abs/1703.05341;2017;1-113-16103-5;312
CoRR;abs/1708.08322;2017;1-09-949610-1;217
J. Comput. Syst. Sci.;37;1988;1-07-277960-9;119
J. Parallel Distributed Comput.;57;1999;0-326-78326-1;226
Adv. Robotics;13;1998;0-17-770802-6;254
Comput. Aided Geom. Des.;27;2010;0-7667-1774-7;271
Comput. Stat. Data Anal.;99;2016;0-403-54976-0;225
Ann. Oper. Res.;218;2014;0-261-71876-2;115
J. Intell. Robotic Syst.;40;2004;1-83199-477-1;259
Oper. Res.;56;2008;1-190-22227-2;363
CoRR;abs/1905.08332;2019;0-477-45279-5;324
CoRR;abs/2105.10276;2021;1-228-38338-3;232
CoRR;abs/cs/0611020;2006;0-7449-9750-X;277
Mob. Inf. Syst.;2021;2021;1-67993-480-5;288
CoRR;abs/1510.06689;2015;1-344-77252-8;104
CoRR;abs/1604.02960;2016;0-07-124629-0;111
CoRR;abs/1512.00210;2015;1-144-38708-6;192
Inf. Sci.;232;2013;1-9764-6004-2;195
Comput. Vis. Image Underst.;79;2000;1-05-985271-3;325
Libr. Trends;49;2000;1-72977-389-3;351
CoRR;abs/1204.0734;2012;1-5216-7373-X;350
CoRR;abs/1808.06533;2018;1-59608-295-X;214
CoRR;abs/1603.04467;2016;0-932414-96-6;312
ACM Trans. Asian Lang. Inf. Process.;12;2013;1-08-606731-2;394
Int. J. Auton. Comput.;1;2009;1-79189-498-4;229
Gov. Inf. Q.;16;1999;0-08-436900-0;263
J. Sci. Comput.;15;2000;1-00-430015-8;215
Inf. Secur. J. A Glob. Perspect.;26;2017;0-17-785775-7;380
IEEE Signal Process. Lett.;14;2007;0-8158-8805-8;260
Math. Program.;99;2004;1-4800-8306-2;163
Manuf. Serv. Oper. Manag.;13;2011;0-11-473827-0;259
Int. J. Inf. Sec.;8;2009;1-77740-274-3;218
CoRR;abs/1705.07081;2017;1-204-41679-6;161
IEEE Trans. Educ.;56;2013;1-59098-299-1;286
Neural Networks;114;2019;0-9853731-9-9;340
Algorithmica;47;2007;1-70787-945-1;331
CoRR;abs/2108.06543;2021;0-02-198573-1;322
ACM SIGSOFT Softw. Eng. Notes;22;1997;1-4193-5621-6;339
Inf. Syst. J.;16;2006;0-8446-7073-1;318
Int. J. Comput. Geom. Appl.;28;2018;1-251-78706-1;373
IEEE Trans. Inf. Theory;15;1969;0-8258-7321-5;386
J. Comput. Phys.;253;2013;0-7851-2934-0;187
Electron. Notes Discret. Math.;30;2008;1-61179-951-1;149
Comput. Educ.;144;2020;0-7907-6549-7;289
CoRR;abs/2001.04625;2020;1-64068-136-1;304
IEEE Trans. Robotics Autom.;18;2002;0-07-822709-7;246
CoRR;abs/2101.11030;2021;0-206-66728-0;194
Wirtschaftsinformatik Manag.;4;2012;0-17-649997-0;355
CoRR;abs/1712.02893;2017;0-931845-98-X;121
CoRR;abs/2010.00064;2020;1-288-92347-3;158
ACM J. Emerg. Technol. Comput. Syst.;13;2016;0-86022-594-1;220
Int. J. Algebra Comput.;27;2017;0-545-71391-9;226
RFC;8545;2019;1-904430-58-9;287
Scientometrics;101;2014;1-225-50713-8;399
IEEE Commun. Lett.;4;2000;1-01-482355-2;134
ACM Trans. Comput. Hum. Interact.;22;2015;0-88712-686-3;178
Int. J. Comput. Intell. Syst.;8;2015;0-568-27691-4;209
Wirel. Commun. Mob. Comput.;5;2005;1-5363-4499-0;313
IEEE Trans. Sustain. Comput.;6;2021;0-296-33970-9;165
CoRR;abs/1312.1231;2013;0-902129-62-7;269
IEEE Trans. Inf. Theory;31;1985;1-969895-52-7;112
IEEE Intell. Syst.;22;2007;1-4762-6033-8;385
Graph. Model. Image Process.;60;1998;1-255-93872-2;364
Int. J. Pervasive Comput. Commun.;4;2008;1-62332-419-X;114
CoRR;abs/1705.07228;2017;1-393-51822-2;340
Image Vis. Comput.;1;1983;0-931973-72-4;267
Art Sci. Eng. Program.;1;2017;0-604-82516-1;379
Comb.;6;1986;1-03-266391-X;176
Comput. Stat. Data Anal.;142;2020;1-83062-530-6;154
Artif. Intell.;90;1997;1-69014-747-4;197
IEEE Trans. Computers;38;1989;1-09-925147-8;212
CoRR;cs.AI/0003012;2000;1-5218-1820-7;175
Comput. Math. Appl.;84;2021;0-306-26081-6;375
NeuroImage;208;2020;0-7503-9863-9;171
Pattern Anal. Appl.;19;2016;1-67399-256-0;240
ACM Comput. Surv.;28;1996;0-444-06426-5;257
Wirel. Commun. Mob. Comput.;8;2008;1-63366-970-X;120
Int. J. Internet Protoc. Technol.;2;2007;0-585-73572-7;386
IEEE Trans. Broadcast.;66;2020;1-5026-0158-3;146
Appl. Math. Comput.;240;2014;0-247-46271-3;226
Eur. J. Oper. Res.;250;2016;0-89227-452-2;384
J. Sci. Comput.;68;2016;0-355-46737-2;380
CoRR;abs/1309.2238;2013;0-456-00279-0;173
Energy Inform.;1;2018;0-8064-6843-2;286
Int. J. Adv. Pervasive Ubiquitous Comput.;6;2014;1-59915-951-1;324
NeuroImage;124;2016;1-59352-093-X;161
CoRR;abs/1008.3998;2010;1-369-37624-3;266
Discret. Appl. Math.;245;2018;0-9560088-5-2;100
CoRR;abs/1706.09754;2017;1-03-727456-3;164
Neurocomputing;386;2020;0-451-75061-6;236
IEEE Internet Comput.;24;2020;0-632-13948-X;275
Comput. Sci. Inf. Syst.;11;2014;0-645-30381-X;268
IEEE Trans. Consumer Electron.;52;2006;1-80244-699-0;111
AIS Trans. Replication Res.;2;2016;0-405-08541-9;135
Queueing Syst. Theory Appl.;47;2004;1-955845-16-6;276
CoRR;abs/2101.07156;2021;1-9771-0222-0;164
Systems and Computers in Japan;32;2001;1-4773-4774-7;375
Proc. ACM Comput. Graph. Interact. Tech.;4;2021;1-68165-357-5;197
J. Biomed. Semant.;7;2016;0-10-455350-2;353
Int. J. Man Mach. Stud.;6;1974;0-483-85549-9;200
Fuzzy Sets Syst.;113;2000;0-15-478619-5;116
Struct. Program.;11;1990;1-918579-24-5;344
Sensors;14;2014;0-9900343-5-6;384
Comput. J.;11;1968;0-7973-2096-2;149
J. Math. Imaging Vis.;28;2007;0-8012-3118-3;306
J. Cogn. Neurosci.;27;2015;0-469-00206-9;394
Autom.;82;2017;0-220-07278-7;386
Math. Syst. Theory;8;1974;1-932050-70-1;120
NeuroImage;56;2011;0-633-55158-9;350
Sci. China Inf. Sci.;54;2011;0-469-65764-2;143
IEEE Syst. J.;5;2011;1-340-85804-5;285
IEEE Netw.;35;2021;0-212-25223-2;150
ACM Trans. Math. Softw.;44;2017;0-455-00495-1;213
Inf. Softw. Technol.;87;2017;1-317-18415-7;367
Comput. Stat. Data Anal.;54;2010;1-01-758434-6;391
IET Commun.;2;2008;1-57314-997-7;209
IEEE Veh. Technol. Mag.;3;2008;0-205-56608-1;148
Pers. Ubiquitous Comput.;2;1998;0-8001-8514-5;125
Int. J. Appl. Decis. Sci.;11;2018;1-4739-6231-5;113
Knowl. Eng. Rev.;25;2010;1-08-745271-6;349
Comb.;2;1982;0-272-50989-2;226
SIAM J. Sci. Comput.;38;2016;1-198-53282-3;234
Commun. ACM;44;2001;0-664-04743-2;245
SIAM J. Matrix Anal. Appl.;34;2013;1-09-010711-0;314
J. Inf. Data Manag.;10;2019;0-938137-25-5;196
Technol. Anal. Strateg. Manag.;32;2020;1-65739-378-X;397
Int. J. Bifurc. Chaos;20;2010;0-04-760934-6;391
IEEE Instrum. Meas. Mag.;14;2011;0-653-29306-2;329
Cogn. Process.;12;2011;0-7579-5636-X;371
CoRR;abs/2009.03458;2020;1-183-48733-9;254
Int. J. Hum. Comput. Stud.;147;2021;1-01-137276-2;378
Int. J. Online Biomed. Eng.;15;2019;1-77211-287-9;186
CoRR;abs/2010.11671;2020;1-86273-377-5;360
IEEE Trans. Image Process.;30;2021;1-109-00132-0;163
Comput. Math. Organ. Theory;7;2001;1-77555-720-0;241
Data Knowl. Eng.;70;2011;1-899482-90-3;122
Comput. Animat. Virtual Worlds;13;2002;1-77632-712-8;313
Commun. Nonlinear Sci. Numer. Simul.;30;2016;1-189-69327-5;279
CoRR;abs/2102.10989;2021;1-9808-6167-6;254
Int. J. Law Inf. Technol.;24;2016;0-276-84684-2;113
Int. J. Comput. Math.;39;1991;0-410-21213-X;141
Int. J. Parallel Program.;46;2018;0-344-78705-2;387
Appl. Categorical Struct.;20;2012;1-264-14178-5;229
CoRR;abs/1402.2899;2014;1-235-81531-5;233
Math. Program.;88;2000;1-55451-890-3;259
IEEE Micro;13;1993;1-75128-706-8;325
CoRR;abs/2103.10671;2021;0-517-69284-8;285
Comput. Methods Programs Biomed.;143;2017;0-308-44327-6;141
CoRR;abs/2112.10287;2021;0-9896589-1-0;150
Softw. Test. Verification Reliab.;1;1991;1-70822-349-5;354
CoRR;abs/1304.0528;2013;0-342-17697-8;365
Inf. Sci.;52;1990;1-4943-4690-7;101
Reliab. Eng. Syst. Saf.;200;2020;1-68114-503-0;133
Int. J. Comput. Sci. Sport;2;2003;1-84183-149-2;162
Eng. Comput.;27;2011;0-19-628845-2;287
Bull. Symb. Log.;27;2021;1-157-86355-8;116
Cryptologia;19;1995;1-5205-9318-X;203
ACM Trans. Database Syst.;17;1992;0-324-93134-4;381
CoRR;abs/1912.02074;2019;0-00-722581-4;237
IEEE Trans. Software Eng.;12;1986;1-125-87440-6;129
Graphs Comb.;21;2005;1-72993-454-4;378
CoRR;abs/2110.05960;2021;1-242-62698-0;355
J. Netw. Comput. Appl.;173;2021;1-56995-134-9;156
ACM Trans. Program. Lang. Syst.;39;2017;1-365-43515-6;244
Artif. Intell. Eng. Des. Anal. Manuf.;29;2015;0-8245-5582-1;198
Neural Comput.;16;2004;0-330-49803-7;180
Pattern Recognit. Lett.;147;2021;0-7496-7119-X;354
CoRR;abs/1910.09920;2019;0-207-94909-3;193
CoRR;abs/1612.06056;2016;0-87299-961-0;353
CoRR;abs/2009.14822;2020;0-483-93622-7;389
Int. J. e Collab.;17;2021;0-86878-479-6;242
Computer;6;1973;1-77824-529-3;302
Mob. Networks Appl.;8;2003;0-698-79323-4;150
EURASIP J. Image Video Process.;2014;2014;0-372-25101-3;247
Electron. J. Comb.;23;2016;1-155-91167-9;278
Commun. Nonlinear Sci. Numer. Simul.;94;2021;0-395-41324-9;235
Pers. Ubiquitous Comput.;16;2012;0-16-481169-9;138
CoRR;abs/1405.6467;2014;0-9772033-1-X;387
CoRR;abs/0910.2593;2009;0-7538-4233-5;317
CoRR;abs/1910.12193;2019;0-390-34475-3;310
IEEE Trans. Circuits Syst. I Regul. Pap.;62-I;2015;0-87214-366-X;336
Computer und Recht;27;2011;0-212-00909-5;194
CoRR;abs/1702.07019;2017;1-70809-482-2;318
Bioinform.;32;2016;0-564-58719-2;182
Dyn. Games Appl.;8;2018;1-215-95599-5;293
CoRR;abs/1705.04159;2017;0-525-01488-8;317
CoRR;abs/2109.13104;2021;1-68050-554-8;108
Informatics;6;2019;1-68787-048-9;263
Int. J. Comput. Integr. Manuf.;26;2013;1-59545-134-X;217
CoRR;abs/1611.04256;2016;1-77979-180-1;325
Coll. Res. Libr.;79;2018;0-12-489950-1;328
Int. J. Commun. Syst.;14;2001;0-912456-35-3;222
IET Signal Process.;11;2017;1-954191-53-7;215
Comput. Ind. Eng.;156;2021;1-383-04220-9;398
Signal Process.;50;1996;0-7519-9924-5;391
J. Object Technol.;8;2009;1-82976-321-0;235
Integr. Comput. Aided Eng.;14;2007;1-245-48930-5;320
Artif. Intell.;80;1996;0-10-742519-X;151
Pattern Recognit.;46;2013;0-327-17802-7;253
CoRR;abs/2102.08112;2021;0-15-122760-8;200
Reliab. Eng. Syst. Saf.;180;2018;1-64860-075-1;326
CoRR;abs/2109.06608;2021;0-19-750432-9;360
Multidimens. Syst. Signal Process.;29;2018;1-04-476379-5;312
CoRR;abs/0908.0893;2009;0-351-89057-2;252
CoRR;abs/1908.07403;2019;0-268-08019-4;105
Appl. Algebra Eng. Commun. Comput.;3;1992;1-152-70694-2;136
CoRR;abs/2010.07022;2020;0-9986639-7-2;341
CoRR;abs/0801.3102;2008;0-406-83297-8;304
Oper. Res. Lett.;20;1997;1-9813-4240-0;350
Inf. Process. Lett.;43;1992;0-8334-3744-5;390
Inf. Technol. Manag.;1;2000;1-61952-542-9;362
SIAM J. Control. Optim.;58;2020;0-7861-3645-6;357
J. Vis.;13;2010;0-260-80194-1;133
Kybernetika;46;2010;1-138-82418-6;241
IEEE Trans. Commun.;29;1981;1-386-46954-8;177
CoRR;abs/2103.10562;2021;1-07-097739-X;321
Int. J. Digit. Curation;4;2009;1-306-07700-1;258
IEEE Computer Graphics and Applications;21;2001;0-16-478782-8;255
Comput. Music. J.;29;2005;0-7019-3964-8;252
LISP Symb. Comput.;7;1994;0-471-54797-2;305
CoRR;abs/1209.2505;2012;1-67998-764-X;263
Data Knowl. Eng.;65;2008;1-5382-4923-5;278
CoRR;abs/1612.00221;2016;0-8438-1422-5;199
IEEE Trans. Parallel Distributed Syst.;28;2017;1-4807-7620-3;112
CoRR;abs/1802.01073;2018;1-08-389218-5;282
Expert Syst. Appl.;37;2010;1-68330-849-2;150
Log. J. IGPL;20;2012;0-18-693920-5;360
Int. J. Comput. Sci. Appl.;9;2012;1-56436-228-0;221
Comput. Secur.;5;1986;1-990090-37-0;334
Trans. Digit. Games Res. Assoc.;3;2017;1-380-48710-2;115
CoRR;abs/2105.07469;2021;1-9840-2443-4;161
CoRR;abs/1902.02947;2019;0-7347-6885-0;359
CoRR;abs/0712.2577;2007;1-69141-815-3;266
CoRR;abs/1804.10025;2018;0-06-011310-3;122
J. Inf. Process.;23;2015;1-148-99154-9;379
Big Data Res.;25;2021;0-698-61225-6;269
CoRR;cs.NI/0303028;2003;0-7174-5075-9;206
Comput. Oper. Res.;1;1974;1-962729-08-7;107
Appl. Math. Comput.;333;2018;0-411-00639-8;289
Comput. Graph.;6;1982;0-255-91259-5;185
Comput. Sci. Eng.;7;2005;0-355-56287-1;271
Informatica;23;2012;0-7915-3348-4;214
Appl. Math. Comput.;250;2015;0-939738-97-X;234
IET Circuits Devices Syst.;14;2020;0-529-87653-1;256
WIREs Data Mining Knowl. Discov.;3;2013;0-343-87743-0;321
CoRR;abs/1705.03332;2017;1-4252-0730-8;104
Mach. Vis. Appl.;19;2008;0-437-61934-6;223
Int. J. Crit. Infrastructures;5;2009;1-107-81174-0;350
HMD Prax. Wirtsch.;273;2010;0-911013-04-0;307
CoRR;abs/1407.2101;2014;0-948838-88-4;315
Math. Program.;176;2019;0-14-753094-6;157
Comput. Geosci.;36;2010;0-10-557638-7;340
J. Cell. Autom.;7;2012;1-5238-6278-5;244
CoRR;abs/1604.05194;2016;0-9628478-8-7;159
Adv. Data Anal. Classif.;1;2007;0-7368-0034-4;372
J. Inf. Process.;25;2017;1-4265-5421-4;328
CoRR;abs/2110.02387;2021;0-294-12192-7;218
CoRR;abs/2008.04545;2020;0-86146-860-0;203
Inf. Syst.;73;2018;1-82843-199-0;354
Acta Informatica;28;1991;1-05-207947-4;338
MIS Q.;22;1998;0-630-37674-3;128
Comput. Hum. Behav.;22;2006;1-83678-250-0;226
Appl. Math. Comput.;131;2002;1-55744-169-3;264
Comput. Biol. Medicine;86;2017;0-8270-9165-6;256
Integr.;72;2020;0-689-01733-2;267
CoRR;abs/1910.08364;2019;1-02-856879-7;340
CoRR;abs/2011.04983;2020;1-4708-4280-7;262
CoRR;abs/1602.04062;2016;0-7678-5739-9;347
IEEE Trans. Pattern Anal. Mach. Intell.;42;2020;1-907951-14-8;295
IEEE Geosci. Remote. Sens. Lett.;18;2021;1-55462-369-3;283
CoRR;abs/2101.11284;2021;0-382-79337-4;311
Discret. Math.;115;1993;1-109-85289-4;352
CoRR;abs/2010.13146;2020;1-84418-946-5;351
J. Inf. Secur. Appl.;54;2020;0-547-51221-X;163
Int. J. Softw. Tools Technol. Transf.;19;2017;1-208-46406-X;383
EURO J. Transp. Logist.;4;2015;1-389-74689-5;281
CoRR;abs/2009.03207;2020;1-280-75935-6;396
Digit. Signal Process.;20;2010;1-915185-39-4;253
Comput. Chem. Eng.;30;2005;1-00-136226-8;325
Int. J. Gen. Syst.;47;2018;0-479-99389-0;267
Inf. Sci.;468;2018;0-627-84322-0;214
Int. J. Mob. Comput. Multim. Commun.;1;2009;0-87564-293-4;151
J. Math. Imaging Vis.;25;2006;1-304-01017-1;237
CoRR;abs/1907.13612;2019;1-65721-022-7;257
J. Documentation;63;2007;0-09-141271-4;224
CoRR;abs/1901.09746;2019;1-78369-252-9;213
Neural Comput.;9;1997;0-418-42582-5;372
CoRR;abs/2102.01458;2021;1-373-30646-7;356
Commun. Nonlinear Sci. Numer. Simul.;57;2018;0-07-312050-2;385
Robotics Auton. Syst.;30;2000;1-939505-42-9;158
Auton. Robots;15;2003;0-8394-9618-4;117
Appl. Math. Lett.;115;2021;1-64413-565-5;389
Ann. Oper. Res.;229;2015;0-428-48771-8;171
Inf. Sci.;119;1999;0-270-86914-X;112
J. Comput. Appl. Math.;374;2020;0-399-97870-4;230
CoRR;abs/1701.05913;2017;1-194-76484-3;249
Comput. Chem. Eng.;46;2012;0-601-22442-6;352
J. Comput. Phys.;313;2016;1-955204-71-3;127
CoRR;abs/1703.09537;2017;0-528-44578-2;302
Bell Labs Tech. J.;9;2004;1-4012-5357-1;272
Mach. Learn. Knowl. Extr.;3;2021;0-341-22967-9;250
CoRR;abs/1511.05960;2015;0-437-50712-2;369
SN Comput. Sci.;3;2022;1-79479-332-1;172
CoRR;abs/1705.06643;2017;0-7491-3843-2;368
Knowl. Based Syst.;237;2022;0-452-61115-6;219
Int. J. Circuit Theory Appl.;19;1991;1-387-52861-0;214
Inf. Sci.;329;2016;1-914235-44-4;140
Health Inf. Sci. Syst.;7;2019;1-342-51497-1;200
Wirel. Pers. Commun.;79;2014;0-937175-15-3;205
SIGHIT Rec.;2;2012;1-61262-583-5;162
J. Geogr. Syst.;9;2007;0-9941366-1-7;132
CoRR;abs/1812.03467;2018;1-305-04438-X;398
Int. J. Space Based Situated Comput.;5;2015;1-06-684537-9;165
ACM Commun. Comput. Algebra;49;2015;1-78387-216-0;219
J. Braz. Comput. Soc.;18;2012;0-403-84006-6;393
J. Inf. Sci.;21;1995;1-5348-7016-4;112
Eur. J. Oper. Res.;265;2018;1-07-214831-5;208
CoRR;abs/1808.05554;2018;1-79737-282-3;208
CoRR;abs/1609.07688;2016;1-06-984129-3;217
Ingénierie des Systèmes d Inf.;13;2008;1-4411-5730-1;120
eLearn Mag.;2008;2008;0-517-21424-5;145
J. Bioinform. Comput. Biol.;3;2005;1-5230-5598-7;246
Electron. Notes Theor. Comput. Sci.;253;2010;1-57043-495-6;215
Ind. Manag. Data Syst.;102;2002;1-284-29474-9;315
Networks;24;1994;0-444-34639-2;160
Autom.;40;2004;1-4073-8211-X;240
CoRR;abs/1905.11079;2019;1-184-55305-X;200
Scholarpedia;4;2009;1-941738-25-7;188
CoRR;abs/2106.05960;2021;1-81715-437-0;309
J. Inf. Sci.;15;1989;1-5048-1748-6;338
J. Complex.;21;2005;1-81576-798-7;303
Ann. des Télécommunications;75;2020;1-208-83868-7;394
BioData Min.;6;2013;0-670-68360-4;204
Int. J. Netw. Manag.;1;1991;1-283-23955-8;175
